Species,eBird,class,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Greater White-fronted Goose,,,0,0,0,0,21,0,0,0,0,471,0,200,26,2,27,0,91,0,1,0,35,32,0,16,0,0,1,0,0,37,47,208,6,6,47,0,0,0,60,43,130,0,1,800,128,0,2,46,2,110,693,0,35,0,33
Snow Goose (white form),Snow Goose,morph,1,2,0,0,0,0,0,0,0,537,0,96,0,0,0,2,0,0,20,0,0,2,0,20,0,0,0,0,0,0,4,0,0,4,0,0,0,0,40,0,0,0,0,400,28,0,0,0,21,1,826,1,22,25,6
Snow Goose (blue form),,morph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ross's Goose,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cackling Goose,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,4,7,2,1,0,0,1,28,3,0,16,0,0,35,0
Canada Goose,,,22,16,29,71,0,10,84,7,8,57,41,371,4,30,16,100,17,0,23,79,88,128,41,163,1033,210,175,68,167,239,201,352,374,374,426,450,399,616,516,856,875,839,492,541,564,498,534,772,648,426,461,661,665,896,491
Canada Goose (moffitti/maxima),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Tundra Swan,,,97,17,0,0,0,11,0,2,0,33,0,97,32,0,1,1,0,6,2,0,7,0,0,0,0,0,9,0,0,0,9,0,0,2,134,0,24,0,0,0,5,0,0,500,11,0,2,122,0,0,23,0,0,13,0
Wood Duck,,,2,5,0,35,52,43,47,30,14,2,7,16,43,33,48,14,12,22,22,7,33,49,45,36,10,56,66,52,76,9,17,42,39,12,21,95,60,72,132,112,46,61,78,79,101,66,25,78,58,108,66,122,73,70,97
Gadwall,,,6,1,0,71,72,134,44,26,16,2,0,1,5,9,4,12,15,4,2,52,80,6,21,61,20,3,8,2,6,15,2,3,15,4,9,1,2,0,14,1,7,0,0,2,0,0,5,2,0,4,0,0,8,0,10
Eurasian Wigeon,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
American Wigeon,,,5,4,1,158,327,1834,664,758,561,185,17,37,45,190,489,789,708,1495,1132,1350,1094,127,177,114,175,60,73,55,115,80,10,6,12,46,58,22,60,57,154,41,101,14,206,12,106,6,92,140,17,92,9,79,65,12,32
Mallard,,,14,6,0,45,19,38,39,52,54,84,100,54,16,295,142,155,167,181,60,168,154,83,122,159,261,219,177,194,139,170,157,168,175,167,190,158,189,221,216,236,190,202,155,162,208,139,196,154,113,140,63,213,189,308,218
Mallard (Domestic type),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Blue-winged Teal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinnamon Teal,,,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Northern Shoveler,,,0,6,0,0,0,3,2,2,5,2,0,0,2,1,1,4,1,2,1,3,2,1,3,16,0,1,1,0,0,1,0,0,0,10,189,0,6,2,5,0,28,6,5,0,0,0,2,4,0,2,10,14,0,7,30
Northern Pintail,,,1,37,360,10,129,23,79,119,44,1734,173,0,262,8,242,0,74,2,6,0,6,0,0,3,25,39,0,0,1,0,40,183,0,2,270,0,64,4,89,15,48,0,0,76,26,0,0,0,0,7,173,1,6,0,55
Green-winged Teal,,,0,14,0,5,6,3,2,18,3,9,0,22,8,0,1,1,17,0,12,27,9,5,5,33,20,0,0,0,1,0,4,0,1,3,1,0,20,1,2,2,2,0,9,21,0,0,1,26,0,16,319,8,1,4,3
Canvasback,,,0,1,1,2,0,123,113,0,0,5,0,0,100,0,17,48,63,72,0,0,12,10,0,18,0,6,3,0,3,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,8,0,5,1,0,0,13,5,0,1,5
Redhead,,,0,0,0,0,0,12,31,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ring-necked Duck,,,0,3,7,12,0,158,41,4,0,0,0,0,5,3,4,23,119,128,18,35,11,83,14,165,7,210,61,68,45,16,26,28,12,5,4,10,16,2,12,8,15,6,65,0,48,1,40,23,5,3,10,75,1,30,29
Greater Scaup,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Lesser Scaup,,,0,13,0,0,1,0,14,0,0,3,1,4,0,0,0,6,6,21,0,2,1,2,8,0,3,0,4,3,0,0,1,1,0,3,0,0,6,0,4,0,0,5,9,7,25,1,1,3,0,16,25,9,1,3,5
