Name,group,class,code,designation
Fulvous Whistling-Duck,ANSERIFORMES,S,4
Emperor Goose,ANSERIFORMES,S,5
Snow Goose,ANSERIFORMES,S,1
Snow Goose (white form),ANSERIFORMES,SS,NA
Snow Goose (blue form),ANSERIFORMES,SS,NA
Ross's Goose,ANSERIFORMES,S,2
Greater White-fronted Goose,ANSERIFORMES,S,1
Cackling Goose,ANSERIFORMES,S,2
Canada Goose,ANSERIFORMES,S,1
Mute Swan,ANSERIFORMES,S,
Trumpeter Swan,ANSERIFORMES,S,5
Tundra Swan,ANSERIFORMES,S,1
Wood Duck,ANSERIFORMES,S,2
Garganey,ANSERIFORMES,S,5
Blue-winged Teal,ANSERIFORMES,S,2
Cinnamon Teal,ANSERIFORMES,S,1
Northern Shoveler,ANSERIFORMES,S,1
Gadwall,ANSERIFORMES,S,1
Eurasian Wigeon,ANSERIFORMES,S,3
American Wigeon,ANSERIFORMES,S,1
Mallard,ANSERIFORMES,S,1
Northern Pintail,ANSERIFORMES,S,1
Green-winged Teal,ANSERIFORMES,S,1
Canvasback,ANSERIFORMES,S,2
Redhead,ANSERIFORMES,S,3
Ring-necked Duck,ANSERIFORMES,S,2
Tufted Duck,ANSERIFORMES,S,5
Greater Scaup,ANSERIFORMES,S,3
Lesser Scaup,ANSERIFORMES,S,2
Harlequin Duck,ANSERIFORMES,S,5
Surf Scoter,ANSERIFORMES,S,4
Black Scoter,ANSERIFORMES,S,5
Long-tailed Duck,ANSERIFORMES,S,5
Bufflehead,ANSERIFORMES,S,1
Common Goldeneye,ANSERIFORMES,S,2
Bufflehead x Common Goldeneye (hybrid),ANSERIFORMES,H,NA
Barrow's Goldeneye,ANSERIFORMES,S,3
Hooded Merganser,ANSERIFORMES,S,2
Common Merganser,ANSERIFORMES,S,2
Red-breasted Merganser,ANSERIFORMES,S,4
Ruddy Duck,ANSERIFORMES,S,1
duck sp.,ANSERIFORMES,SP,NA
Mountain Quail,GALLIFORMES,S,3
California Quail,GALLIFORMES,S,1
new world quail sp.,GALLIFORMES,SP,NA
Ring-necked Pheasant,GALLIFORMES,S,2
Wild Turkey,GALLIFORMES,S,1
Pied-billed Grebe,PODICIPEDIFORMES,S,1
Horned Grebe,PODICIPEDIFORMES,S,4
Red-necked Grebe,PODICIPEDIFORMES,S,4
Eared Grebe,PODICIPEDIFORMES,S,1
Western Grebe,PODICIPEDIFORMES,S,3
Clark's Grebe,PODICIPEDIFORMES,S,3
Rock Pigeon (feral),COLUMBIFORMES,S,1
Band-tailed Pigeon,COLUMBIFORMES,S,3
Eurasian Collared-Dove,COLUMBIFORMES,S,1
Mourning Dove,COLUMBIFORMES,S,1
Yellow-billed Cuckoo,CUCULIFORMES,S,4
Greater Roadrunner,CUCULIFORMES,S,3
Lesser Nighthawk,CAPRIMULGIFORMES,S,3
Common Nighthawk,CAPRIMULGIFORMES,S,5
Common Poorwill,CAPRIMULGIFORMES,S,3
Black Swift,CAPRIMULGIFORMES,S,4
Chimney Swift,CAPRIMULGIFORMES,S,5
Vaux's Swift,CAPRIMULGIFORMES,S,3
White-throated Swift,CAPRIMULGIFORMES,S,2
Black-chinned Hummingbird,CAPRIMULGIFORMES,S,2
Anna's Hummingbird,CAPRIMULGIFORMES,S,1
Costa's Hummingbird,CAPRIMULGIFORMES,S,4
Rufous Hummingbird,CAPRIMULGIFORMES,S,2
Allen's Hummingbird,CAPRIMULGIFORMES,S,4
Calliope Hummingbird,CAPRIMULGIFORMES,S,4
Black Rail,GRUIFORMES,S,5
Virginia Rail,GRUIFORMES,S,2
Sora,GRUIFORMES,S,2
Common Gallinule,GRUIFORMES,S,2
American Coot,GRUIFORMES,S,1
Sandhill Crane,GRUIFORMES,S,2
Black-necked Stilt,CHARADRIIFORMES,S,1
American Avocet,CHARADRIIFORMES,S,1
Black-bellied Plover,CHARADRIIFORMES,S,2
American Golden-Plover,CHARADRIIFORMES,S,4
Pacific Golden-Plover,CHARADRIIFORMES,S,4
Snowy Plover,CHARADRIIFORMES,S,4
Common Ringed Plover,CHARADRIIFORMES,S,5
Semipalmated Plover,CHARADRIIFORMES,S,2
Killdeer,CHARADRIIFORMES,S,1
Mountain Plover,CHARADRIIFORMES,S,4
Whimbrel,CHARADRIIFORMES,S,2
Long-billed Curlew,CHARADRIIFORMES,S,1
Hudsonian Godwit,CHARADRIIFORMES,S,5
Marbled Godwit,CHARADRIIFORMES,S,2
Ruddy Turnstone,CHARADRIIFORMES,S,4
Black Turnstone,CHARADRIIFORMES,S,5
Red Knot,CHARADRIIFORMES,S,4
Ruff,CHARADRIIFORMES,S,4
Sharp-tailed Sandpiper,CHARADRIIFORMES,S,4
Stilt Sandpiper,CHARADRIIFORMES,S,4
Curlew Sandpiper,CHARADRIIFORMES,S,5
Red-necked Stint,CHARADRIIFORMES,S,5
Sanderling,CHARADRIIFORMES,S,4
Dunlin,CHARADRIIFORMES,S,1
Baird's Sandpiper,CHARADRIIFORMES,S,3
Little Stint,CHARADRIIFORMES,S,5
Least Sandpiper,CHARADRIIFORMES,S,1
Buff-breasted Sandpiper,CHARADRIIFORMES,S,1
Pectoral Sandpiper,CHARADRIIFORMES,S,4
